timestamp,open,high,low,close,volume
1741204800000,21.226,22.454,21.226,21.713,4027852.0
1741219200000,21.713,22.405,21.437,22.356,2690661.0
1741233600000,22.355,22.566,21.63,21.683,2027145.0
1741248000000,21.683,22.267,21.604,21.955,1781928.0
1741262400000,21.955,22.086,21.184,21.957,2883321.0
1741276800000,21.957,22.096,20.876,21.05,2756940.0
1741291200000,21.05,21.485,20.97,20.988,1765259.0
1741305600000,20.987,21.309,19.663,20.248,4816267.0
1741320000000,20.249,20.782,20.202,20.722,1237846.0
1741334400000,20.723,20.899,20.432,20.781,1590009.0
1741348800000,20.781,21.125,20.423,20.703,3228765.0
1741363200000,20.703,21.196,19.998,20.818,3214579.0
1741377600000,20.818,20.96,19.925,20.13,2728171.0
1741392000000,20.129,20.235,19.603,19.859,1554908.0
1741406400000,19.858,20.047,19.719,19.782,878042.0
1741420800000,19.782,19.835,19.4,19.528,1325358.0
1741435200000,19.529,21.075,19.45,20.461,3806359.0
1741449600000,20.462,20.86,20.256,20.812,1903944.0
1741464000000,20.813,20.975,20.342,20.488,1630971.0
1741478400000,20.488,20.672,20.205,20.265,910003.0
1741492800000,20.264,20.36,20.027,20.131,1051059.0
1741507200000,20.131,20.141,19.597,19.702,1750966.0
1741521600000,19.702,19.703,19.071,19.162,2607152.0
1741536000000,19.161,19.341,17.758,18.232,5789259.0
1741550400000,18.232,18.424,17.733,17.959,2745045.0
1741564800000,17.958,18.484,17.608,18.161,2537841.0
1741579200000,18.161,18.464,18.137,18.39,1255314.0
1741593600000,18.39,19.056,17.982,18.832,3122127.0
1741608000000,18.833,18.985,17.388,17.782,4576992.0
1741622400000,17.781,17.857,16.14,16.892,6996740.0
1741636800000,16.893,16.96,16.225,16.253,2904812.0
1741651200000,16.254,17.191,15.264,16.567,8602661.0
1741665600000,16.567,17.089,16.518,16.951,2943954.0
1741680000000,16.951,17.448,16.872,17.354,2409892.0
1741694400000,17.354,17.472,16.486,17.351,5157073.0
1741708800000,17.351,17.902,16.943,17.753,4241758.0
1741723200000,17.752,17.876,17.44,17.498,1563976.0
1741737600000,17.498,17.817,17.054,17.078,2226738.0
1741752000000,17.077,17.579,16.93,17.542,1963065.0
1741766400000,17.541,18.234,17.464,18.226,2854482.0
1741780800000,18.226,18.84,17.515,17.967,5359823.0
1741795200000,17.967,18.594,17.942,18.395,2789831.0
1741809600000,18.396,18.963,18.339,18.904,1983918.0
1741824000000,18.903,19.181,18.711,18.845,2093757.0
1741838400000,18.848,19.132,18.546,18.786,2240554.0
1741852800000,18.785,19.32,18.602,19.013,2490698.0
1741867200000,19.012,19.214,18.287,18.379,3201036.0
1741881600000,18.38,18.447,17.906,18.156,2541844.0
1741896000000,18.155,18.892,17.721,18.496,2988691.0
1741910400000,18.495,18.892,18.452,18.751,1556452.0
1741924800000,18.751,18.876,18.471,18.642,1178557.0
1741939200000,18.643,19.115,18.57,18.752,1835749.0
1741953600000,18.751,19.284,18.511,18.995,3050266.0
1741968000000,18.996,19.295,18.761,18.979,2123630.0
1741982400000,18.978,19.094,18.511,18.557,4101924.0
1741996800000,18.556,18.651,18.359,18.619,1610094.0
1742011200000,18.619,18.88,18.483,18.598,3561919.0
1742025600000,18.597,18.641,18.426,18.548,4792775.0
1742040000000,18.548,18.717,18.405,18.541,1950695.0
1742054400000,18.542,18.749,18.458,18.605,1377041.0
1742068800000,18.606,19.469,18.604,19.385,4050076.0
1742083200000,19.385,19.715,18.953,19.684,2546634.0
1742097600000,19.685,19.84,19.263,19.342,1744999.0
1742112000000,19.342,19.392,18.312,18.396,2919201.0
1742126400000,18.396,18.678,18.147,18.473,2565505.0
1742140800000,18.472,19.055,18.194,18.324,3246369.0
1742155200000,18.324,18.462,18.1,18.245,1590658.0
1742169600000,18.245,18.73,18.214,18.608,1702449.0
1742184000000,18.608,18.72,18.232,18.601,1772784.0
1742198400000,18.602,18.722,18.391,18.6,1496350.0
1742212800000,18.601,18.811,18.171,18.451,2896021.0
1742227200000,18.45,19.077,18.367,18.935,2456157.0
1742241600000,18.934,18.977,18.684,18.809,1278609.0
1742256000000,18.809,18.937,18.38,18.558,1953379.0
1742270400000,18.559,19.031,18.432,18.812,2203831.0
1742284800000,18.812,19.266,18.696,18.788,2753345.0
1742299200000,18.788,18.896,18.355,18.433,3046494.0
1742313600000,18.434,18.711,18.31,18.657,2311342.0
1742328000000,18.657,19.072,18.438,18.972,1925956.0
1742342400000,18.972,19.217,18.829,19.185,1914164.0
1742356800000,19.186,19.32,18.894,18.904,1495885.0
1742371200000,18.905,19.663,18.886,19.533,2642718.0
1742385600000,19.532,19.955,19.292,19.848,3581498.0
1742400000000,19.848,20.093,19.419,19.582,3814326.0
1742414400000,19.583,19.777,19.378,19.721,1946039.0
1742428800000,19.722,19.855,19.246,19.274,1627588.0
1742443200000,19.275,19.29,19.071,19.123,1440290.0
1742457600000,19.122,19.314,18.727,18.825,2212148.0
1742472000000,18.825,19.176,18.732,18.762,2489542.0
1742486400000,18.76,18.86,18.382,18.699,2385832.0
1742500800000,18.699,18.784,18.606,18.736,803022.0
