timestamp,open,high,low,close,volume
1741204800000,594.73,598.87,594.22,597.93,45915.86
1741219200000,597.92,605.72,596.54,601.63,88156.67
1741233600000,601.62,611.82,601.62,604.71,180754.51
1741248000000,604.72,605.76,599.51,603.6,68946.57
1741262400000,603.61,604.0,594.0,600.11,118416.06
1741276800000,600.11,601.02,589.09,593.4,97690.08
1741291200000,593.4,601.13,593.0,596.27,67349.5
1741305600000,596.28,600.09,577.04,593.84,247456.87
1741320000000,593.83,603.26,593.43,599.35,120206.94
1741334400000,599.36,602.64,597.97,599.76,64835.59
1741348800000,599.76,610.36,597.55,604.08,186000.44
1741363200000,604.08,606.0,596.73,599.97,123212.91
1741377600000,599.98,601.62,589.79,594.53,113723.78
1741392000000,594.53,596.96,589.89,596.24,62265.22
1741406400000,596.24,599.91,595.43,596.85,77844.79
1741420800000,596.86,598.5,592.44,594.07,41591.51
1741435200000,594.06,599.7,593.08,599.57,56823.22
1741449600000,599.57,602.48,595.36,598.11,63116.77
1741464000000,598.1,598.7,592.78,592.8,42283.91
1741478400000,592.8,592.81,586.23,588.14,68653.92
1741492800000,588.13,588.45,583.44,585.72,56165.23
1741507200000,585.71,586.18,575.02,578.0,101631.25
1741521600000,578.0,578.7,565.71,566.47,153674.32
1741536000000,566.47,570.36,549.67,560.15,277827.96
1741550400000,560.15,563.01,549.84,554.4,105912.6
1741564800000,554.41,562.94,549.55,560.46,147799.37
1741579200000,560.47,566.69,560.12,564.38,60948.57
1741593600000,564.39,573.33,558.62,567.22,159257.12
1741608000000,567.23,569.76,541.33,550.07,267321.1
1741622400000,550.08,550.89,522.71,537.53,360657.37
1741636800000,537.53,541.07,530.56,531.25,107599.82
1741651200000,531.29,538.42,506.47,532.97,365055.75
1741665600000,532.98,557.82,532.32,557.42,184314.98
1741680000000,557.41,565.24,546.48,548.13,500034.31
1741694400000,548.14,554.87,537.1,548.96,307487.94
1741708800000,548.93,561.14,545.04,555.76,161031.11
1741723200000,555.76,557.31,550.89,551.47,63484.23
1741737600000,551.48,556.85,546.02,546.61,94490.29
1741752000000,546.62,555.94,544.0,555.43,123770.93
1741766400000,555.44,560.32,553.98,558.82,103344.19
1741780800000,558.83,575.0,548.08,552.33,572005.56
1741795200000,552.33,567.6,551.4,566.42,130659.28
1741809600000,566.41,574.84,566.04,569.75,103701.96
1741824000000,569.76,577.57,567.72,577.15,109496.1
1741838400000,577.16,582.08,573.66,578.03,146318.39
1741852800000,578.04,582.99,572.85,578.52,141929.13
1741867200000,578.52,620.0,575.61,581.08,1372433.35
1741881600000,581.08,583.29,571.46,577.02,159811.13
1741896000000,577.05,579.5,571.04,579.45,85144.07
1741910400000,579.45,584.42,577.33,582.47,107535.15
1741924800000,582.48,586.78,576.32,576.41,87920.76
1741939200000,576.4,580.74,576.4,578.25,80619.98
1741953600000,578.25,588.65,577.29,584.31,170909.62
1741968000000,584.31,589.16,581.5,587.84,83844.67
1741982400000,587.83,589.44,584.65,587.56,51682.3
1741996800000,587.55,594.24,587.41,592.81,89760.65
1742011200000,592.82,595.0,589.24,590.56,63041.64
1742025600000,590.56,597.87,590.56,595.66,66359.11
1742040000000,595.67,603.48,595.1,603.11,102208.22
1742054400000,603.12,616.46,602.06,611.38,225375.48
1742068800000,611.39,619.65,611.37,619.62,99139.91
1742083200000,619.61,622.93,606.9,609.56,170862.57
1742097600000,609.57,609.78,604.32,604.78,82744.84
1742112000000,604.78,608.11,592.9,595.03,184577.69
1742126400000,595.03,603.26,594.19,600.47,181432.22
1742140800000,600.47,607.08,595.21,598.6,141978.19
1742155200000,598.6,603.39,597.06,602.14,64559.82
1742169600000,602.14,629.58,602.01,625.68,306880.34
1742184000000,625.67,633.99,621.43,629.57,337628.5
1742198400000,629.57,643.59,628.42,630.94,407303.84
1742212800000,630.93,635.49,624.53,630.0,334282.18
1742227200000,629.99,631.57,624.64,627.81,156334.35
1742241600000,627.81,632.62,621.69,631.39,148949.49
1742256000000,631.38,636.8,619.94,628.13,247170.96
1742270400000,628.12,637.38,627.91,633.16,214879.37
1742284800000,633.16,643.37,629.0,630.93,324603.14
1742299200000,630.93,634.01,621.74,627.08,267330.88
1742313600000,627.08,635.39,626.62,631.84,144466.48
1742328000000,631.82,632.84,626.28,627.42,97273.85
1742342400000,627.41,627.8,612.38,618.26,223760.1
1742356800000,618.26,619.58,615.0,615.24,97269.12
1742371200000,615.24,621.7,612.31,616.88,224044.17
1742385600000,616.87,617.44,604.28,609.5,333831.98
