pair,leg_a,leg_b,n_bars,cum_drift_pct,annual_drift_pct,eg_stat,eg_pval,gamma_ols,alpha_ols,adf_resid_stat,adf_resid_pval,johansen_trace_0,johansen_crit_95_0,johansen_coint,half_life_days,ar1_rho,hurst_rs,hurst_var_diff,hurst_null_95_lo,hurst_null_95_hi,hurst_sig_diff_null,rolling_windows_count,rolling_p_lt_005_share,gamma_min,gamma_max,daily_sigma_pct,annual_sigma_pct,leg_corr,beta_a_btc,beta_b_btc,net_beta_btc,beta_neutral_ratio,fwd_edge_4h_pct,fwd_edge_4h_boot_p,fwd_edge_8h_pct,fwd_edge_8h_boot_p,fwd_edge_24h_pct,fwd_edge_24h_boot_p,fwd_edge_72h_pct,fwd_edge_72h_boot_p
ZEC/AVAX,ZEC,AVAX,3288,8107.99711920667,293.6674757128788,-2.0254102867468204,0.515346600398971,-1.8269575319800992,9.880444064719342,-2.0250205739295546,0.27571133420757254,18.229015963966553,15.4943,True,47.865953443508985,0.9975894090769988,0.6112045377900399,0.5696840089663728,0.4433097710697497,0.5417723683536062,True,16,0.0625,-2.997144140512071,2.241179131254281,6.562329400642741,125.37312716179312,0.40267207794536514,1.3282309248840087,1.3806532020471391,-0.052422277163130415,0.9620308147727451,0.11045938418970211,0.018,0.14477352941486965,0.077,0.35108570389354754,0.078,0.9131663009344351,0.046
ENA/SUI,ENA,SUI,3288,69.1204601128981,35.00808987843222,-1.4334177266406816,0.7858292316581416,1.0983359188157413,-2.0856287699392833,-1.432810935875196,0.566449029607798,3.2495177974728486,15.4943,False,61.50094602749391,0.9981233443754602,0.5844731463248785,0.5066235090288613,0.44230840706619423,0.5425127896098051,False,16,0.0,0.16817165129307163,2.3137423796940304,4.35783021987221,83.25622944987053,0.6868199386725696,1.675932187997393,1.5759500673296605,0.09998212066773249,1.0634424419532182,-0.004762141125611236,0.901,0.0179439788875133,0.775,0.06295065396848608,0.685,0.1906102112682263,0.539
SOL/ADA,SOL,ADA,3288,216.38338672821433,76.73891528899858,-2.331664683193018,0.3578633677263624,0.5867318275020197,5.323398139774298,-2.3319825725315435,0.16186029586807932,7.580185228670065,15.4943,False,34.72229456849633,0.9966784291280523,0.5743508315776888,0.49407550914474957,0.4467217873080033,0.5497027572843951,False,16,0.0625,0.39265686802644356,1.2185374166885508,2.4434193197841556,46.68146055863591,0.8088298917648302,1.3765834624000024,1.418901748401866,-0.0423182860018636,0.9701753232388871,-0.02235871459672801,0.172,-0.0439909370615071,0.116,-0.0009673293206663158,0.987,0.15871642714388945,0.238
BNB/ETH,BNB,ETH,3288,9.862883132560963,6.267043467028616,-2.2021825187820245,0.42323831732530515,0.5850292968953816,1.9882944690662967,-2.2033536634614705,0.20503052294594254,16.900851454399103,15.4943,True,39.91962356447664,0.997110255030738,0.6092701824083527,0.5169178608768134,0.4404228243230715,0.5361876269656364,False,16,0.1875,-0.12503765924614904,0.8520083885069383,2.3205737628328964,44.334499488470335,0.721716541599233,0.8227595372566073,1.2950616241350605,-0.4723020868784532,0.6353053182361943,0.007974674401606683,0.651,0.013666445105993307,0.619,0.06367663279183536,0.277,0.06086365707034301,0.685
